parameter,comment,options,label
X,array-like of shape (n_samples n_features) or list of object Query points where the GP is evaluated for classification.,numbers.Integral operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve scipy.optimize scipy.special.erf scipy.special.expit base.BaseEstimator base.ClassifierMixin base.clone kernels.Kernel kernels.RBF kernels.CompoundKernel kernels.ConstantKernel utils.validation.check_is_fitted utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions preprocessing.LabelEncoder multiclass.OneVsRestClassifier multiclass.OneVsOneClassifier,
X,array-like of shape (n_samples n_features) or list of object Query points where the GP is evaluated for classification.,numbers.Integral operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve scipy.optimize scipy.special.erf scipy.special.expit base.BaseEstimator base.ClassifierMixin base.clone kernels.Kernel kernels.RBF kernels.CompoundKernel kernels.ConstantKernel utils.validation.check_is_fitted utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions preprocessing.LabelEncoder multiclass.OneVsRestClassifier multiclass.OneVsOneClassifier,
X,array-like of shape (n_samples n_features) or list of object Feature vectors or other representations of training data.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
y,array-like of shape (n_samples) or (n_samples n_targets) Target values.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
X,array-like of shape (n_samples n_features) or list of object Query points where the GP is evaluated.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
return_std,bool default=False If True the standard-deviation of the predictive distribution at the query points is returned along with the mean.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
return_cov,bool default=False If True the covariance of the joint predictive distribution at the query points is returned along with the mean.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
X,array-like of shape (n_samples_X n_features) or list of object Query points where the GP is evaluated.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
n_samples,int default=1 Number of samples drawn from the Gaussian process per query point.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
random_state,int RandomState instance or None default=0 Determines random number generation to randomly draw samples. Pass an int for reproducible results across multiple function calls.,warnings numbers.Integral numbers.Real operator.itemgetter numpy scipy.linalg.cholesky scipy.linalg.cho_solve scipy.linalg.solve_triangular scipy.optimize base.BaseEstimator base.RegressorMixin base.clone base.MultiOutputMixin kernels.Kernel kernels.RBF kernels.ConstantKernel preprocessing._data._handle_zeros_in_scale utils.check_random_state utils.optimize._check_optimize_result utils._param_validation.Interval utils._param_validation.StrOptions,
X,array-like of shape (n_samples n_features) dtype=DOUBLE Input data.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csr_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
check_input,bool default=True Allow to bypass several input checking. Don't use this parameter unless you know what you're doing.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csr_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
check_input,bool default=True Allow to bypass several input checking. Don't use this parameter unless you know what you're doing.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csr_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
check_input,bool default=True Allow to bypass several input checking. Don't use this parameter unless you know what you're doing.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The training input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csc_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
y,array-like of shape (n_samples) or (n_samples n_outputs) The target values (class labels) as integers or strings.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
sample_weight,array-like of shape (n_samples) default=None Sample weights. If None then samples are equally weighted. Splits that would create child nodes with net zero or negative weight are ignored while searching for a split in each node. Splits are also ignored if they would result in any single class carrying a negative weight in either child node.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The training input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csc_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
y,array-like of shape (n_samples) or (n_samples n_outputs) The target values (real numbers). Use ``dtype=np.float64`` and ``order='C'`` for maximum efficiency.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
sample_weight,array-like of shape (n_samples) default=None Sample weights. If None then samples are equally weighted. Splits that would create child nodes with net zero or negative weight are ignored while searching for a split in each node.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
check_input,bool default=True Allow to bypass several input checking. Don't use this parameter unless you know what you're doing.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csr_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
check_input,bool default=True Allow to bypass several input checking. Don't use this parameter unless you know what you're doing.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
X,{array-like sparse matrix} of shape (n_samples n_features) The input samples. Internally it will be converted to ``dtype=np.float32`` and if a sparse matrix is provided to a sparse ``csr_matrix``.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
grid,ndarray of shape (n_samples n_target_features) The grid points on which the partial dependence should be evaluated.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
target_features,ndarray of shape (n_target_features) The set of target features for which the partial dependence should be evaluated.,numbers warnings copy abc.ABCMeta abc.abstractmethod math.ceil numbers.Integral numbers.Real numpy scipy.sparse.issparse base.BaseEstimator base.ClassifierMixin base.clone base.RegressorMixin base.is_classifier base.MultiOutputMixin utils.Bunch utils.check_random_state utils.validation._check_sample_weight utils.validation.assert_all_finite utils.validation._assert_all_finite_element_wise utils.compute_sample_weight utils.multiclass.check_classification_targets utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt _criterion.Criterion _splitter.Splitter _tree.DepthFirstTreeBuilder _tree.BestFirstTreeBuilder _tree.Tree _tree._build_pruned_tree_ccp _tree.ccp_pruning_path None._tree None._splitter None._criterion _utils._any_isnan_axis0,
n,int The number of colors required.,io.StringIO numbers.Integral numpy utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.validate_params utils._param_validation.StrOptions base.is_classifier None._criterion None._tree _reingold_tilford.buchheim _reingold_tilford.Tree None.DecisionTreeClassifier None.DecisionTreeRegressor matplotlib.pyplot matplotlib.text.Annotation,
X,array-like of shape (n_samples n_features) Training data.,warnings math.sqrt math.log numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.squared_norm utils.validation.check_is_fitted exceptions.ConvergenceWarning,
y,Ignored Ignored parameter.,warnings math.sqrt math.log numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.squared_norm utils.validation.check_is_fitted exceptions.ConvergenceWarning,
X,array-like of shape (n_samples n_features) Training data.,warnings math.sqrt math.log numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.squared_norm utils.validation.check_is_fitted exceptions.ConvergenceWarning,
X,ndarray of shape (n_samples n_features) The data.,warnings math.sqrt math.log numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.squared_norm utils.validation.check_is_fitted exceptions.ConvergenceWarning,
X,ndarray of shape (n_samples n_features) The data.,warnings math.sqrt math.log numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.squared_norm utils.validation.check_is_fitted exceptions.ConvergenceWarning,
y,Ignored Ignored parameter.,warnings math.sqrt math.log numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_random_state utils._param_validation.Interval utils._param_validation.StrOptions utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.squared_norm utils.validation.check_is_fitted exceptions.ConvergenceWarning,
X,{array-like sparse matrix} of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,numbers.Integral numpy scipy.linalg scipy.sparse _base._BasePCA utils.gen_batches utils._param_validation.Interval utils.extmath.svd_flip utils.extmath._incremental_mean_and_var,
y,Ignored Not used present for API consistency by convention.,numbers.Integral numpy scipy.linalg scipy.sparse _base._BasePCA utils.gen_batches utils._param_validation.Interval utils.extmath.svd_flip utils.extmath._incremental_mean_and_var,
X,array-like of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,numbers.Integral numpy scipy.linalg scipy.sparse _base._BasePCA utils.gen_batches utils._param_validation.Interval utils.extmath.svd_flip utils.extmath._incremental_mean_and_var,
y,Ignored Not used present for API consistency by convention.,numbers.Integral numpy scipy.linalg scipy.sparse _base._BasePCA utils.gen_batches utils._param_validation.Interval utils.extmath.svd_flip utils.extmath._incremental_mean_and_var,
check_input,bool default=True Run check_array on X.,numbers.Integral numpy scipy.linalg scipy.sparse _base._BasePCA utils.gen_batches utils._param_validation.Interval utils.extmath.svd_flip utils.extmath._incremental_mean_and_var,
X,{array-like sparse matrix} of shape (n_samples n_features) New data where `n_samples` is the number of samples and `n_features` is the number of features.,numbers.Integral numpy scipy.linalg scipy.sparse _base._BasePCA utils.gen_batches utils._param_validation.Interval utils.extmath.svd_flip utils.extmath._incremental_mean_and_var,
spectrum,ndarray of shape (n_features) Data spectrum.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
rank,int Tested rank value. It should be strictly lower than n_features otherwise the method isn't specified (division by zero in equation (31) from the paper).,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
n_samples,int Number of samples.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
X,array-like of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
y,Ignored Ignored.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
